Spec,variable,value
1 CPU 1 GB RAM,Monolit,0.06915
1 CPU 1 GB RAM,Monolit,0.06886
1 CPU 1 GB RAM,Monolit,0.06871
1 CPU 1 GB RAM,Monolit,0.06885
1 CPU 1 GB RAM,Monolit,0.06903
1 CPU 1 GB RAM,Monolit,0.0691
1 CPU 1 GB RAM,Monolit,0.06923
1 CPU 1 GB RAM,Monolit,0.06929
1 CPU 1 GB RAM,Monolit,0.06941
1 CPU 1 GB RAM,Monolit,0.06925
1 CPU 1 GB RAM,Monolit,0.06929
1 CPU 1 GB RAM,Monolit,0.06952
1 CPU 1 GB RAM,Monolit,0.06963
1 CPU 1 GB RAM,Monolit,0.06979
1 CPU 1 GB RAM,Monolit,0.07008
1 CPU 1 GB RAM,Monolit,0.07041
1 CPU 1 GB RAM,Monolit,0.07078
1 CPU 1 GB RAM,Monolit,0.07082
1 CPU 1 GB RAM,Monolit,0.07112
1 CPU 1 GB RAM,Monolit,0.07141
3 CPU 3 GB RAM,Monolit,0.1978
3 CPU 3 GB RAM,Monolit,0.1972
3 CPU 3 GB RAM,Monolit,0.19689
3 CPU 3 GB RAM,Monolit,0.197
3 CPU 3 GB RAM,Monolit,0.19712
3 CPU 3 GB RAM,Monolit,0.19771
3 CPU 3 GB RAM,Monolit,0.19769
3 CPU 3 GB RAM,Monolit,0.19851
3 CPU 3 GB RAM,Monolit,0.19849
3 CPU 3 GB RAM,Monolit,0.19848
3 CPU 3 GB RAM,Monolit,0.19859
3 CPU 3 GB RAM,Monolit,0.19875
3 CPU 3 GB RAM,Monolit,0.199
3 CPU 3 GB RAM,Monolit,0.19973
3 CPU 3 GB RAM,Monolit,0.20027
3 CPU 3 GB RAM,Monolit,0.20094
3 CPU 3 GB RAM,Monolit,0.20187
3 CPU 3 GB RAM,Monolit,0.20225
3 CPU 3 GB RAM,Monolit,0.20246
3 CPU 3 GB RAM,Monolit,0.20305
4 CPU 6 GB RAM,Monolit,0.25163
4 CPU 6 GB RAM,Monolit,0.2512
4 CPU 6 GB RAM,Monolit,0.24984
4 CPU 6 GB RAM,Monolit,0.24948
4 CPU 6 GB RAM,Monolit,0.24915
4 CPU 6 GB RAM,Monolit,0.24901
4 CPU 6 GB RAM,Monolit,0.24925
4 CPU 6 GB RAM,Monolit,0.24935
4 CPU 6 GB RAM,Monolit,0.24953
4 CPU 6 GB RAM,Monolit,0.24978
4 CPU 6 GB RAM,Monolit,0.24978
4 CPU 6 GB RAM,Monolit,0.25002
4 CPU 6 GB RAM,Monolit,0.25013
4 CPU 6 GB RAM,Monolit,0.25031
4 CPU 6 GB RAM,Monolit,0.25116
4 CPU 6 GB RAM,Monolit,0.25234
4 CPU 6 GB RAM,Monolit,0.25322
4 CPU 6 GB RAM,Monolit,0.25418
4 CPU 6 GB RAM,Monolit,0.25528
4 CPU 6 GB RAM,Monolit,0.2562
1 CPU 1 GB RAM,MSx1,0.05931
1 CPU 1 GB RAM,MSx1,0.05916
1 CPU 1 GB RAM,MSx1,0.05905
1 CPU 1 GB RAM,MSx1,0.05901
1 CPU 1 GB RAM,MSx1,0.05913
1 CPU 1 GB RAM,MSx1,0.05934
1 CPU 1 GB RAM,MSx1,0.0595
1 CPU 1 GB RAM,MSx1,0.05966
1 CPU 1 GB RAM,MSx1,0.05995
1 CPU 1 GB RAM,MSx1,0.06007
1 CPU 1 GB RAM,MSx1,0.0601
1 CPU 1 GB RAM,MSx1,0.06023
1 CPU 1 GB RAM,MSx1,0.06036
1 CPU 1 GB RAM,MSx1,0.06057
1 CPU 1 GB RAM,MSx1,0.06075
1 CPU 1 GB RAM,MSx1,0.06082
1 CPU 1 GB RAM,MSx1,0.06108
1 CPU 1 GB RAM,MSx1,0.06135
1 CPU 1 GB RAM,MSx1,0.06162
1 CPU 1 GB RAM,MSx1,0.06196
3 CPU 3 GB RAM,MSx1,0.19417
3 CPU 3 GB RAM,MSx1,0.1937
3 CPU 3 GB RAM,MSx1,0.19295
3 CPU 3 GB RAM,MSx1,0.19291
3 CPU 3 GB RAM,MSx1,0.19283
3 CPU 3 GB RAM,MSx1,0.19289
3 CPU 3 GB RAM,MSx1,0.19334
3 CPU 3 GB RAM,MSx1,0.19368
3 CPU 3 GB RAM,MSx1,0.1933
3 CPU 3 GB RAM,MSx1,0.19335
3 CPU 3 GB RAM,MSx1,0.19417
3 CPU 3 GB RAM,MSx1,0.1948
3 CPU 3 GB RAM,MSx1,0.19541
3 CPU 3 GB RAM,MSx1,0.19523
3 CPU 3 GB RAM,MSx1,0.19597
3 CPU 3 GB RAM,MSx1,0.19688
3 CPU 3 GB RAM,MSx1,0.1978
3 CPU 3 GB RAM,MSx1,0.19877
3 CPU 3 GB RAM,MSx1,0.19969
3 CPU 3 GB RAM,MSx1,0.20063
1 CPU 1 GB RAM,MSx3,0.17115
1 CPU 1 GB RAM,MSx3,0.17115
1 CPU 1 GB RAM,MSx3,0.17171
1 CPU 1 GB RAM,MSx3,0.17345
1 CPU 1 GB RAM,MSx3,0.17348
1 CPU 1 GB RAM,MSx3,0.17552
1 CPU 1 GB RAM,MSx3,0.17565
1 CPU 1 GB RAM,MSx3,0.17606
1 CPU 1 GB RAM,MSx3,0.17655
1 CPU 1 GB RAM,MSx3,0.1769
1 CPU 1 GB RAM,MSx3,0.17688
1 CPU 1 GB RAM,MSx3,0.17695
1 CPU 1 GB RAM,MSx3,0.17695
1 CPU 1 GB RAM,MSx3,0.17745
1 CPU 1 GB RAM,MSx3,0.17783
1 CPU 1 GB RAM,MSx3,0.17809
1 CPU 1 GB RAM,MSx3,0.17812
1 CPU 1 GB RAM,MSx3,0.17815
1 CPU 1 GB RAM,MSx3,0.17959
1 CPU 1 GB RAM,MSx3,0.1796
1 CPU 1 GB RAM,MSx6,0.26152
1 CPU 1 GB RAM,MSx6,0.26169
1 CPU 1 GB RAM,MSx6,0.26134
1 CPU 1 GB RAM,MSx6,0.26182
1 CPU 1 GB RAM,MSx6,0.26251
1 CPU 1 GB RAM,MSx6,0.26531
1 CPU 1 GB RAM,MSx6,0.26953
1 CPU 1 GB RAM,MSx6,0.27014
1 CPU 1 GB RAM,MSx6,0.27035
1 CPU 1 GB RAM,MSx6,0.2705
1 CPU 1 GB RAM,MSx6,0.27885
1 CPU 1 GB RAM,MSx6,0.27873
1 CPU 1 GB RAM,MSx6,0.27964
1 CPU 1 GB RAM,MSx6,0.28143
1 CPU 1 GB RAM,MSx6,0.28257
1 CPU 1 GB RAM,MSx6,0.2833
1 CPU 1 GB RAM,MSx6,0.28413
1 CPU 1 GB RAM,MSx6,0.28507
1 CPU 1 GB RAM,MSx6,0.28996
1 CPU 1 GB RAM,MSx6,0.29013
2 CPU 2 GB RAM,MSx2,0.25298
2 CPU 2 GB RAM,MSx2,0.25319
2 CPU 2 GB RAM,MSx2,0.25425
2 CPU 2 GB RAM,MSx2,0.25404
2 CPU 2 GB RAM,MSx2,0.25413
2 CPU 2 GB RAM,MSx2,0.25669
2 CPU 2 GB RAM,MSx2,0.2564
2 CPU 2 GB RAM,MSx2,0.25613
2 CPU 2 GB RAM,MSx2,0.25689
2 CPU 2 GB RAM,MSx2,0.25799
2 CPU 2 GB RAM,MSx2,0.25781
2 CPU 2 GB RAM,MSx2,0.25778
2 CPU 2 GB RAM,MSx2,0.25957
2 CPU 2 GB RAM,MSx2,0.25955
2 CPU 2 GB RAM,MSx2,0.25955
2 CPU 2 GB RAM,MSx2,0.25953
2 CPU 2 GB RAM,MSx2,0.26186
2 CPU 2 GB RAM,MSx2,0.2619
2 CPU 2 GB RAM,MSx2,0.26193
2 CPU 2 GB RAM,MSx2,0.2619
